Country,EdLevel,YearsCode,YearsCodePro,DevType,OrgSize,Age,ConvertedCompYearly
India,No bachelors,10,10,Front-end Developer,499.0,25.0,16416.0
Italy,Bachelors,10,3,Full-stack Developer,99.0,25.0,35672.0
Other,No bachelors,12,7,Data Scientist or ML Engr.,499.0,25.0,64860.0
Germany,Bachelors,10,3,Full-stack Developer,99.0,25.0,59454.0
France,No bachelors,12,9,Other,9999.0,25.0,45396.0
Other,Bachelors,3,2,Front-end Developer,99.0,18.0,22212.0
Ukraine,Bachelors,18,11,Front-end Developer,499.0,25.0,60000.0
United States of America,Post-grad,39,35,Front-end Developer,4999.0,45.0,110000.0
Ukraine,Bachelors,15,9,Full-stack Developer,499.0,25.0,53832.0
Turkey,No bachelors,7,2,Full-stack Developer,99.0,25.0,18080.0
Germany,Bachelors,11,3,Engineering Manager,499.0,25.0,31128.0
Brazil,Bachelors,16,12,Front-end Developer,99.0,25.0,96204.0
Other,Bachelors,6,3,Front-end Developer,499.0,25.0,5448.0
France,No bachelors,15,6,Front-end Developer,499.0,25.0,88640.0
Spain,No bachelors,6,2,Front-end Developer,19.0,18.0,20539.0
United States of America,No bachelors,40,21,Full-stack Developer,99.0,55.0,190000.0
United Kingdom of Great Britain and Northern Ireland,Post-grad,30,10,Front-end Developer,99.0,35.0,49765.0
France,No bachelors,13,10,Front-end Developer,19.0,25.0,48644.0
United States of America,Bachelors,14,8,Front-end Developer,499.0,25.0,57765.0
United States of America,Bachelors,6,3,Other,499.0,25.0,40000.0
United States of America,No bachelors,6,2,Full-stack Developer,499.0,18.0,37440.0
Canada,Bachelors,16,9,Front-end Developer,499.0,25.0,83194.0
United States of America,No bachelors,10,8,Full-stack Developer,4999.0,35.0,430000.0
Switzerland,Bachelors,20,13,Full-stack Developer,499.0,35.0,111814.0
United States of America,No bachelors,5,4,Front-end Developer,499.0,25.0,133000.0
Germany,No bachelors,23,13,Full-stack Developer,499.0,35.0,69183.0
Other,Bachelors,20,6,Front-end Developer,4999.0,25.0,64737.0
Italy,No bachelors,13,8,Other,99.0,25.0,47563.0
Netherlands,Bachelors,16,12,Front-end Developer,499.0,35.0,118908.0
France,No bachelors,12,6,Front-end Developer,4999.0,25.0,69183.0
India,Bachelors,10,8,Front-end Developer,19.0,25.0,29320.0
Other,Bachelors,22,8,Front-end Developer,4999.0,35.0,70264.0
Ukraine,Bachelors,1,0,Front-end Developer,99.0,25.0,4008.0
United States of America,No bachelors,12,5,Other,99.0,18.0,150000.0
Other,Bachelors,30,21,Front-end Developer,499.0,35.0,51888.0
France,No bachelors,22,7,Front-end Developer,499.0,35.0,64859.0
Italy,No bachelors,30,17,Full-stack Developer,99.0,35.0,59454.0
France,No bachelors,13,5,Front-end Developer,499.0,25.0,36753.0
India,Bachelors,3,0,Data Scientist or ML Engr.,9999.0,18.0,6981.0
United States of America,Bachelors,25,19,SRE or Devops,4999.0,45.0,125000.0
United Kingdom of Great Britain and Northern Ireland,Bachelors,17,10,Other,19.0,25.0,63854.0
India,No bachelors,14,10,Front-end Developer,99.0,35.0,123984.0
Other,No bachelors,13,10,Front-end Developer,99.0,25.0,25944.0
Netherlands,No bachelors,13,4,Full-stack Developer,499.0,25.0,46482.0
Other,No bachelors,9,5,Front-end Developer,19.0,25.0,7788.0
Italy,No bachelors,3,3,Data Scientist or ML Engr.,4999.0,25.0,35672.0
Other,Bachelors,9,5,Front-end Developer,499.0,18.0,27144.0
India,Bachelors,4,0,Full-stack Developer,499.0,18.0,8376.0
Germany,Bachelors,11,7,Front-end Developer,19.0,25.0,86478.0
India,Bachelors,16,7,Data Scientist or ML Engr.,499.0,25.0,134028.0
United States of America,Bachelors,40,25,Other,99.0,45.0,98000.0
Germany,No bachelors,21,18,Front-end Developer,99.0,35.0,54049.0
United States of America,Bachelors,20,3,Front-end Developer,499.0,35.0,73500.0
